0,DP_townmap_001,"Would you like to use Fly to go to
{tag:0}{tag:1}?",0,-1,54,1080,0,"-1
0
0
-1
0",-1,19,3,5,0,0,,0,0,1,5,0,0,0,,0
1,DP_townmap_003,"A small path through a lush, green, wooded
area. The densely grown trees give off a
thick aroma.",104,-1,32,640,0,"-1
0
0
-1
0"
2,DP_townmap_004,"A winding path that twists through grassy fields.
Young Trainers like to test their battle skills here.",104,-1,32,640,0,"-1
0
0
-1
0"
3,DP_townmap_005,"Despite being so close to a big town, this path
retains its relaxed, natural atmosphere.",104,-1,32,640,0,"-1
0
0
-1
0"
4,DP_townmap_006,"Once one gets through the tunnel, the city of
Oreburgh is just a stone’s throw away.",104,-1,32,640,0,"-1
0
0
-1
0"
5,DP_townmap_007,"A charmingly natural path that wanders past
many ponds and groves of trees.",104,-1,32,640,0,"-1
0
0
-1
0"
6,DP_townmap_008,"The Ravaged Path was hewn through a rocky
outcropping. It is a shortcut that leads straight to
Floaroma Town.",104,-1,32,640,0,"-1
0
0
-1
0"
7,DP_townmap_009,"A wide, wooden walkway spans a large pond.
Fishers idle their time away dangling lines from
the walkway.",104,-1,32,640,0,"-1
0
0
-1
0"
8,DP_townmap_010,"A quietly flowing stream and hilly terrain with
one-way ledges make this a fun area
for adventure.",104,-1,32,640,0,"-1
0
0
-1
0"
9,DP_townmap_011,"Near the entrance of Eterna Forest is a cabin
whose keepers offer rest to weary travelers that
stop by.",104,-1,32,640,0,"-1
0
0
-1
0"
10,DP_townmap_012,"Smoothly paved in asphalt, Cycling Road is
heavenly for bicycle lovers.",104,-1,32,640,0,"-1
0
0
-1
0"
11,DP_townmap_013,"Below Cycling Road, one can see the entrance
to Wayward Cave.",104,-1,32,640,0,"-1
0
0
-1
0"
12,DP_townmap_014,"Located at the foot of Mount Coronet, this road
is carved into the rugged, rocky terrain.",104,-1,32,640,0,"-1
0
0
-1
0"
13,DP_townmap_015,"A lush field of grass spreads from Mount
Coronet’s sheer rock face, creating a vista
of contrasts.",104,-1,32,640,0,"-1
0
0
-1
0"
14,DP_townmap_016,"The Berry Master—an old man who loves nature,
Pokémon, and Berries—makes his home here.",104,-1,32,640,0,"-1
0
0
-1
0"
15,DP_townmap_017,"The streams forded by this path wind past
copses and grassy patches in a serene and
soothing manner.",104,-1,32,640,0,"-1
0
0
-1
0"
16,DP_townmap_018,"The Lost Tower is where Pokémon are laid to rest
when their lives come to an end.",104,-1,32,640,0,"-1
0
0
-1
0"
17,DP_townmap_019,"A path made by clearing an overgrown canyon
between mountains. It is always shrouded by a
dense fog.",104,-1,32,640,0,"-1
0
0
-1
0"
18,DP_townmap_020,"Grandma Wilma’s house stands alone in an
isolated spot deep among the mountains.",104,-1,32,640,0,"-1
0
0
-1
0"
19,DP_townmap_021,"This narrow route is lined with deep, tall grass
that tickles the noses of people straying off
the path.",104,-1,32,640,0,"-1
0
0
-1
0"
20,DP_townmap_022,"The Café Cabin stands in a wood. The house
special is fresh Moomoo Milk.",104,-1,32,640,0,"-1
0
0
-1
0"
21,DP_townmap_023,"A mountain path that tunnels through Mount
Coronet, one of the tallest mountains in Sinnoh.",104,-1,32,640,0,"-1
0
0
-1
0"
22,DP_townmap_024,"A tall, sturdy wall surrounds an expansive estate
that takes up nearly half of the road space.",104,-1,32,640,0,"-1
0
0
-1
0"
23,DP_townmap_025,"Beyond the wall, one can see the stately
Pokémon Mansion and the owner’s prized
garden behind it.",104,-1,32,640,0,"-1
0
0
-1
0"
