0,ATKMSG_M_000,!,2,-1,54,1620,0,"-1
0
0
-1
0"
1,ATKMSG_Y_000,!,2,-1,54,1620,0,"-1
0
0
-1
0"
2,ATKMSG_E_000,!,2,-1,54,1620,0,"-1
0
0
-1
0"
3,ATKMSG_T_000,!,2,-1,54,1620,0,"-1
0
0
-1
0"
4,ATKMSG_M_001,{tag:0} used Pound!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
5,ATKMSG_Y_001,The wild {tag:0} used Pound!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
6,ATKMSG_E_001,The opposing {tag:0} used Pound!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
7,ATKMSG_T_001,{tag:0}’s {tag:1} used Pound!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
8,ATKMSG_M_002,{tag:0} used Karate Chop!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
9,ATKMSG_Y_002,The wild {tag:0} used Karate Chop!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
10,ATKMSG_E_002,The opposing {tag:0} used Karate Chop!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
11,ATKMSG_T_002,{tag:0}’s {tag:1} used Karate Chop!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
12,ATKMSG_M_003,{tag:0} used Double Slap!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
13,ATKMSG_Y_003,The wild {tag:0} used Double Slap!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
14,ATKMSG_E_003,The opposing {tag:0} used Double Slap!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
15,ATKMSG_T_003,{tag:0}’s {tag:1} used Double Slap!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
16,ATKMSG_M_004,{tag:0} used Comet Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
17,ATKMSG_Y_004,The wild {tag:0} used Comet Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
18,ATKMSG_E_004,The opposing {tag:0} used Comet Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
19,ATKMSG_T_004,{tag:0}’s {tag:1} used Comet Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
20,ATKMSG_M_005,{tag:0} used Mega Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
21,ATKMSG_Y_005,The wild {tag:0} used Mega Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
22,ATKMSG_E_005,The opposing {tag:0} used Mega Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
23,ATKMSG_T_005,{tag:0}’s {tag:1} used Mega Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
24,ATKMSG_M_006,{tag:0} used Pay Day!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
25,ATKMSG_Y_006,The wild {tag:0} used Pay Day!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
26,ATKMSG_E_006,The opposing {tag:0} used Pay Day!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
27,ATKMSG_T_006,{tag:0}’s {tag:1} used Pay Day!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
28,ATKMSG_M_007,{tag:0} used Fire Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
29,ATKMSG_Y_007,The wild {tag:0} used Fire Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
30,ATKMSG_E_007,The opposing {tag:0} used Fire Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",0,1,1,0,0,0,,0
31,ATKMSG_T_007,{tag:0}’s {tag:1} used Fire Punch!,2,-1,54,1620,0,"-1
0
0
-1
0",10,1,0,0,0,0,,0,0,1,1,0,0,0,,0
