0,DP_townmap_001,"Vuoi usare Volo per andare
{tag:0}?",0,-1,54,1080,1,"0
0
0
-1
0",0,1,71,0,0,0,,0
1,DP_townmap_003,"Una stradina che attraversa un’area boscosa.
La fitta vegetazione emana un profumo
molto intenso.",104,-1,32,640,0,"0
0
0
-1
0"
2,DP_townmap_004,"Un sentiero tortuoso che si snoda tra campi
di erba alta. Qui i giovani Allenatori adorano
mettere alla prova le loro abilità.",104,-1,32,640,0,"0
0
0
-1
0"
3,DP_townmap_005,"Nonostante sia così vicino alla città, in questo
sentiero si sente ancora il profumo della natura.",104,-1,32,640,0,"0
0
0
-1
0"
4,DP_townmap_006,"Una volta attraversato il tunnel, la città
di Mineropoli è a pochi passi di distanza.",104,-1,32,640,0,"0
0
0
-1
0"
5,DP_townmap_007,"Un delizioso sentiero naturale che costeggia
laghetti e aree boscose.",104,-1,32,640,0,"0
0
0
-1
0"
6,DP_townmap_008,"Il Cammino Roccioso è una scorciatoia che
attraversa un’altura e conduce direttamente
a Giardinfiorito.",104,-1,32,640,0,"0
0
0
-1
0"
7,DP_townmap_009,"Sul largo ponte che attraversa questo grande
lago, i Pescatori passano il tempo stringendo
le loro canne da pesca, in attesa.",104,-1,32,640,0,"0
0
0
-1
0"
8,DP_townmap_010,"Grazie al tranquillo ruscello e a un terreno
irregolare, quest’area è perfetta per godersi
appieno l’avventura.",104,-1,32,640,0,"0
0
0
-1
0"
9,DP_townmap_011,"Accanto all’entrata del Bosco di Evopoli c’è
una casetta in cui i viaggiatori di passaggio
possono riposarsi.",104,-1,32,640,0,"0
0
0
-1
0"
10,DP_townmap_012,"L’asfalto spianato della Pista Ciclabile
fa di questa strada un paradiso per i ciclisti.",104,-1,32,640,0,"0
0
0
-1
0"
11,DP_townmap_013,"Sotto la Pista Ciclabile si trova l’entrata
della Grotta Labirinto.",104,-1,32,640,0,"0
0
0
-1
0"
12,DP_townmap_014,"Questo sentiero, che si trova ai piedi del
Monte Corona, è scavato in un terreno
roccioso e accidentato.",104,-1,32,640,0,"0
0
0
-1
0"
13,DP_townmap_015,"Ai piedi del brullo Monte Corona si estende
un verde prato di erba alta che crea
un piacevole contrasto visivo.",104,-1,32,640,0,"0
0
0
-1
0"
14,DP_townmap_016,"Qui vive il Signor Bacchini, un anziano
signore amante della natura, dei Pokémon
e delle bacche.",104,-1,32,640,0,"0
0
0
-1
0"
15,DP_townmap_017,"I ruscelli che scorrono accanto a questo sentiero
costeggiano in maniera sinuosa boschi e prati
di erba alta, dando un senso di pace e serenità.",104,-1,32,640,0,"0
0
0
-1
0"
16,DP_townmap_018,"La Torre Memoria è il luogo in cui vengono
portati i Pokémon quando la loro vita giunge
al termine.",104,-1,32,640,0,"0
0
0
-1
0"
17,DP_townmap_019,"Un sentiero creato in una gola naturale che
si apre tra le montagne. È sempre avvolto
da una densa nebbia.",104,-1,32,640,0,"0
0
0
-1
0"
18,DP_townmap_020,"La casa di nonna Elmira è situata in un luogo
isolato in mezzo alle montagne.",104,-1,32,640,0,"0
0
0
-1
0"
19,DP_townmap_021,"Questa strada stretta è costeggiata da erba
così alta e fitta da solleticare il naso a chiunque
vi si addentri.",104,-1,32,640,0,"0
0
0
-1
0"
20,DP_townmap_022,"Il Caffè Baita si trova in mezzo al bosco.
La specialità della casa è il Latte Mumu
appena munto.",104,-1,32,640,0,"0
0
0
-1
0"
21,DP_townmap_023,"Un sentiero montano che attraversa il Monte
Corona, una delle vette più alte della regione
di Sinnoh.",104,-1,32,640,0,"0
0
0
-1
0"
22,DP_townmap_024,"Un muro alto e massiccio circonda una tenuta
che occupa quasi metà del sentiero.",104,-1,32,640,0,"0
0
0
-1
0"
23,DP_townmap_025,"Oltre il muro è possibile vedere la sontuosa
Villa Pokémon e il prezioso giardino
del proprietario.",104,-1,32,640,0,"0
0
0
-1
0"
24,DP_townmap_026,"Questo sentiero serpeggia tra pozzanghere
create dalle costanti piogge. Non è l’ideale
per gli Allenatori che vogliono restare asciutti.",104,-1,32,640,0,"0
0
0
-1
0"
25,DP_townmap_027,"Qui si trova una casa i cui inquilini barattano
MT con Cocci Rossi, Gialli, Verdi e Blu.",104,-1,32,640,0,"0
0
0
-1
0"
26,DP_townmap_028,"I massi in mare aperto fungono da frangiflutti,
rallentando le onde che si avvicinano a riva.
Sul promontorio si erge un hotel.",104,-1,32,640,0,"0
0
0
-1
0"
27,DP_townmap_029,"In una casetta sulla spiaggia vive un uomo
tutto solo, che si fa chiamare Dottor Impronta.",104,-1,32,640,0,"0
0
0
-1
0"
28,DP_townmap_030,"Alcuni definiscono il percorso che congiunge
Rupepoli al lago ""un trionfo di natura selvaggia"".
Altri, più semplicemente, ""un campo incolto"".",104,-1,32,640,0,"0
0
0
-1
0"
29,DP_townmap_031,"Uno Scoprirovine ha aperto un buco nel muro
roccioso che si trova lungo il ciglio della strada,
creando un’entrata per la grotta.",104,-1,32,640,0,"0
0
0
-1
0"
30,DP_townmap_032,"Questa zona è sempre colpita da piogge
abbondanti. Qui vengono solo gli Allenatori
più coraggiosi che non hanno paura di bagnarsi.",104,-1,32,640,0,"0
0
0
-1
0"
31,DP_townmap_033,"Questa strada montana si estende alle pendici
del Monte Corona. Le costanti nevicate creano
cumuli di neve che rendono il terreno impervio.",104,-1,32,640,0,"0
0
0
-1
0"
32,DP_townmap_034,"La neve che proviene dal Monte Corona si
trasforma qui in tormente rigide e interminabili.
Bisogna essere pronti al peggio.",104,-1,32,640,0,"0
0
0
-1
0"
33,DP_townmap_035,"Questo breve percorso è poco noto,
ma gli amanti della pesca lo considerano
un luogo ideale per praticare questo sport.",104,-1,32,640,0,"0
0
0
-1
0"
34,DP_townmap_036,"Una stupenda spiaggia di sabbia candida
a neppure cinque secondi da Sabbiafine.
Dal mare soffia una piacevole brezza.",104,-1,32,640,0,"0
0
0
-1
0"
